"","SRR9119210_GSM3815127_CR_12m_M_1_Mus_musculus_RNA-Seq_1.fastq.gz.subread.BAM","SRR9119211_GSM3815128_CR_12m_M_2_Mus_musculus_RNA-Seq_1.fastq.gz.subread.BAM","SRR9119212_GSM3815129_CR_12m_M_3_Mus_musculus_RNA-Seq_1.fastq.gz.subread.BAM","SRR9119216_GSM3815133_CON_12m_M_1_Mus_musculus_RNA-Seq_1.fastq.gz.subread.BAM","SRR9119217_GSM3815134_CON_12m_M_2_Mus_musculus_RNA-Seq_1.fastq.gz.subread.BAM","SRR9119218_GSM3815135_CON_12m_M_3_Mus_musculus_RNA-Seq_1.fastq.gz.subread.BAM","SRR9119228_GSM3815145_RAP_12m_M_1_Mus_musculus_RNA-Seq_1.fastq.gz.subread.BAM","SRR9119229_GSM3815146_RAP_12m_M_2_Mus_musculus_RNA-Seq_1.fastq.gz.subread.BAM","SRR9119230_GSM3815147_RAP_12m_M_3_Mus_musculus_RNA-Seq_1.fastq.gz.subread.BAM"
"ENSMUSG00000102628",0,0,0,0,0,0,0,0,1
"ENSMUSG00000100595",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097426",449,169,249,406,139,202,262,188,131
"ENSMUSG00000104478",0,0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0,0
"ENSMUSG00000086053",0,0,0,0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0,0,0,0
"ENSMUSG00000102135",408,582,390,287,442,407,175,475,373
"ENSMUSG00000103282",0,0,0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100764",2,3,1,1,0,1,0,0,0
"ENSMUSG00000102095",126,187,339,120,161,270,90,271,122
"ENSMUSG00000102534",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100831",1,0,2,1,0,0,0,0,1
"ENSMUSG00000100884",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100635",0,1,0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100480",5,3,1,1,0,5,1,3,2
"ENSMUSG00000114212",0,0,0,0,0,0,0,0,0
"ENSMUSG00000089037",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0,0
"ENSMUSG00000114943",0,0,0,0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100025",6,4,10,2,3,2,1,0,0
"ENSMUSG00000114694",0,0,0,0,0,0,0,0,0
"ENSMUSG00000114582",0,0,0,0,0,0,0,0,0
"ENSMUSG00000114591",0,0,0,0,0,0,0,0,0
"ENSMUSG00002076687",0,0,0,1,1,0,0,0,0
"ENSMUSG00000100954",34,19,12,26,13,13,12,13,18
"ENSMUSG00000051285",1724,1256,1470,2496,1755,2066,1835,2040,1521
"ENSMUSG00000098201",1,2,0,0,0,0,0,1,0
"ENSMUSG00000103509",6,1,4,1,4,1,3,1,1
"ENSMUSG00000048538",8043,4465,8700,5038,4061,4237,4520,6336,2507
"ENSMUSG00000103709",0,0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797",1,0,2,0,2,1,1,0,1
"ENSMUSG00000103498",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0,0,0
"ENSMUSG00000102320",0,1,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0,0,0,0
"ENSMUSG00000026312",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100290",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0,0,0,0
"ENSMUSG00000099926",0,0,0,0,0,0,0,0,0
"ENSMUSG00000039748",1,1,0,0,0,1,0,1,0
"ENSMUSG00000118715",0,0,0,0,0,0,0,0,0
"ENSMUSG00000104158",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103540",0,0,0,0,0,0,0,0,0
"ENSMUSG00000057363",241,274,230,185,211,200,145,172,176
"ENSMUSG00000047216",8,3,5,1,3,0,0,3,4
"ENSMUSG00000102788",0,0,0,0,0,0,0,0,0
"ENSMUSG00000102160",0,0,0,0,0,0,0,0,0
