"","SRR9137553_GSM3823667_CON_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137554_GSM3823668_CON_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137555_GSM3823669_CON_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137556_GSM3823670_CON_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137557_GSM3823671_CON_5_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137558_GSM3823672_CON_6_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137559_GSM3823673_CON_7_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137560_GSM3823674_CON_8_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137565_GSM3823679_RIL_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137566_GSM3823680_RIL_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137567_GSM3823681_RIL_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137568_GSM3823682_RIL_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM"
"ENSMUSG00000102628",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100595",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000097426",0,0,0,0,2,0,1,1,2,0,0,1
"ENSMUSG00000104478",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000086053",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102135",20,13,19,27,30,14,29,15,14,8,14,16
"ENSMUSG00000103282",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100764",1,1,3,1,1,0,2,0,1,1,1,1
"ENSMUSG00000102095",2,8,3,11,12,5,1,13,10,6,19,8
"ENSMUSG00000102534",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,1,1,0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100635",0,0,0,0,2,0,1,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100480",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114212",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089037",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114943",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100025",0,0,3,0,1,0,0,1,0,0,0,2
"ENSMUSG00000114694",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114582",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114591",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076687",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100954",5,2,7,3,6,3,1,3,4,3,3,4
"ENSMUSG00000051285",255,350,537,491,503,280,457,413,458,357,522,302
"ENSMUSG00000098201",0,1,4,0,2,1,2,1,0,1,2,0
"ENSMUSG00000103509",0,3,4,0,1,1,0,2,2,1,1,0
"ENSMUSG00000048538",2,5,3,4,8,0,2,7,1,4,1,0
"ENSMUSG00000103709",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797",0,0,1,1,3,1,0,2,0,1,0,1
"ENSMUSG00000103498",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103903",2,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000103557",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026312",0,0,1,0,0,0,2,0,1,1,1,0
"ENSMUSG00000100290",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099926",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039748",1,0,2,1,5,1,7,2,5,0,0,0
"ENSMUSG00000118715",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104158",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103540",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057363",15,39,77,35,51,33,44,36,17,13,24,25
"ENSMUSG00000047216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102788",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102160",0,0,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000101253",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101846",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090243",0,0,0,2,0,0,0,0,0,0,1,0
"ENSMUSG00000100701",1,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000100555",1,3,2,4,1,0,4,4,1,0,6,2
"ENSMUSG00000101395",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102728",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088848",0,0,0,0,0,0,0,0,0,0,0,0
